intersection_key,road_key,time_key,0,1
สุรศักดิ์,สีลม,09:00-16:00,2378.4285714285716,2191.8571428571427
สุรศักดิ์,สีลม,16:00-19:00,2243.3333333333335,1977.6666666666667
หน้าธนาคารแห่งประเทศไทย,สามเสน,07:00-09:00,1137.0,686.0
หน้าธนาคารแห่งประเทศไทย,สามเสน,09:00-16:00,944.5714285714286,584.2142857142858
หน้าธนาคารแห่งประเทศไทย,สามเสน,16:00-19:00,660.0,532.0
หน้ารพ.พญาไท2,พหลโยธิน,07:00-09:00,1783.0,2148.5
หน้ารพ.พญาไท2,พหลโยธิน,09:00-16:00,2267.1428571428573,2496.1428571428573
หน้ารพ.พญาไท2,พหลโยธิน,16:00-19:00,2735.6666666666665,2892.6666666666665
หน้ารพ.รามาธิบดี,พระรามที่6,07:00-09:00,3578.0,3272.5
หน้ารพ.รามาธิบดี,พระรามที่6,09:00-16:00,3178.5714285714284,3119.5714285714284
หน้ารพ.รามาธิบดี,พระรามที่6,16:00-19:00,3424.0,2556.3333333333335
หมอเหล็ง,จตุรทิศ,09:00-16:00,357.85714285714283,59.42857142857143
หมอเหล็ง,ราชปรารภ,09:00-16:00,1608.2857142857142,2020.2857142857142
หมอเหล็ง,ศรีอยุธยา,07:00-09:00,3874.0,740.0
หมอเหล็ง,ศรีอยุธยา,09:00-16:00,4143.428571428572,781.1428571428571
หมอเหล็ง,ศรีอยุธยา,16:00-19:00,5641.0,798.6666666666666
ห้วยขวาง,ประชาสงเคราะห์,07:00-09:00,1525.0,496.0
ห้วยขวาง,ประชาสงเคราะห์,09:00-16:00,1339.5714285714287,464.42857142857144
ห้วยขวาง,ประชาสงเคราะห์,16:00-19:00,1169.6666666666667,394.0
ห้วยขวาง,รัชดาภิเษก,07:00-09:00,5827.0,786.5
ห้วยขวาง,รัชดาภิเษก,09:00-16:00,5765.571428571428,1159.142857142857
ห้วยขวาง,รัชดาภิเษก,16:00-19:00,7238.666666666667,1198.3333333333333
เดโช,สีลม,07:00-09:00,2003.0,1552.5
เดโช,สีลม,09:00-16:00,2027.142857142857,1719.7142857142858
เดโช,สีลม,16:00-19:00,1162.6666666666667,1416.0
เดโช,เดโช,07:00-09:00,311.0,271.0
เดโช,เดโช,09:00-16:00,278.14285714285717,231.14285714285714
เดโช,เดโช,16:00-19:00,248.66666666666666,183.66666666666666
เตาปูน,ซอยน้ำชัย,07:00-09:00,9.5,4.0
เตาปูน,ซอยน้ำชัย,09:00-16:00,10.0,3.2857142857142856
เตาปูน,ซอยน้ำชัย,16:00-19:00,15.333333333333334,2.6666666666666665
เตาปูน,ประชาราษฎร์สาย2,07:00-09:00,1383.0,1041.0
เตาปูน,ประชาราษฎร์สาย2,09:00-16:00,1485.7142857142858,1329.2857142857142
เตาปูน,ประชาราษฎร์สาย2,16:00-19:00,1828.0,1521.6666666666667
เสาวณี,ศรีอยุธยา,07:00-09:00,2095.5,1834.5
เสาวณี,ศรีอยุธยา,09:00-16:00,2216.8571428571427,2002.0
เสาวณี,ศรีอยุธยา,16:00-19:00,2065.3333333333335,1876.3333333333333
เสาวณี,สวรรคโลก,07:00-09:00,1233.0,1087.5
เสาวณี,สวรรคโลก,09:00-16:00,1075.5714285714287,1034.4285714285713
เสาวณี,สวรรคโลก,16:00-19:00,1355.3333333333333,1212.0
โพธิ์สามต้น,วังเดิม,07:00-09:00,289.0,377.0
