source_excel_row,survey_date_parsed,report_date,Lockdown,Not Lockdown,intersection,road,reference_flag
17319,2020-03-04,2020-03-04,1,0,ประดิษฐ์มนูธรรม-สังคมสงเคราะห์,ประดิษฐ์มนูธรรม,0
17320,2020-03-04,2020-03-04,1,0,ประดิษฐ์มนูธรรม-สังคมสงเคราะห์,ประดิษฐ์มนูธรรม,0
17321,2020-03-04,2020-03-04,1,0,ประดิษฐ์มนูธรรม-สังคมสงเคราะห์,ประดิษฐ์มนูธรรม,0
17322,2020-03-04,2020-03-04,1,0,ประดิษฐ์มนูธรรม-สังคมสงเคราะห์,สังคมสงเคราะห์,0
17323,2020-03-04,2020-03-04,1,0,ประดิษฐ์มนูธรรม-สังคมสงเคราะห์,สังคมสงเคราะห์,0
17324,2020-03-04,2020-03-04,1,0,ประดิษฐ์มนูธรรม-สังคมสงเคราะห์,สังคมสงเคราะห์,0
17325,2020-03-05,2020-03-05,1,0,หน้าวัดบึงทองหลาง,ซอยลาดพร้าว101,0
17326,2020-03-05,2020-03-05,1,0,หน้าวัดบึงทองหลาง,ซอยลาดพร้าว101,0
17327,2020-03-05,2020-03-05,1,0,หน้าวัดบึงทองหลาง,ซอยลาดพร้าว101,0
17328,2020-03-05,2020-03-05,1,0,ลาดพร้าว101,ซอยลาดพร้าว128/1,0
17329,2020-03-05,2020-03-05,1,0,ลาดพร้าว101,ซอยลาดพร้าว128/1,0
17330,2020-03-05,2020-03-05,1,0,ลาดพร้าว101,ซอยลาดพร้าว128/1,0
17331,2020-03-05,2020-03-05,1,0,ลาดพร้าว101,ซอยลาดพร้าว101,0
17332,2020-03-05,2020-03-05,1,0,ลาดพร้าว101,ซอยลาดพร้าว101,0
17333,2020-03-05,2020-03-05,1,0,ลาดพร้าว101,ซอยลาดพร้าว101,0
17334,2020-03-05,2020-03-05,1,0,ลาดพร้าว101,ลาดพร้าว,0
17335,2020-03-05,2020-03-05,1,0,ลาดพร้าว101,ลาดพร้าว,0
17336,2020-03-05,2020-03-05,1,0,ลาดพร้าว101,ลาดพร้าว,0
17337,2020-03-06,2020-03-06,1,0,ปากซอยพุทธบูชา36,ซอยพุทธบูชา36,0
17338,2020-03-06,2020-03-06,1,0,ปากซอยพุทธบูชา36,ซอยพุทธบูชา36,0
17339,2020-03-06,2020-03-06,1,0,ปากซอยพุทธบูชา36,ซอยพุทธบูชา36,0
17340,2020-03-06,2020-03-06,1,0,พุทธบูชา36-ซอยตำหนักเสด็จพ่อโกมินทร์,ซอยพุทธบูชา36,0
17341,2020-03-06,2020-03-06,1,0,พุทธบูชา36-ซอยตำหนักเสด็จพ่อโกมินทร์,ซอยพุทธบูชา36,0
17342,2020-03-06,2020-03-06,1,0,พุทธบูชา36-ซอยตำหนักเสด็จพ่อโกมินทร์,ซอยพุทธบูชา36,0
17343,2020-03-06,2020-03-06,1,0,หมู่บ้านอลิชา2,ซอยหมู่บ้านอลิชา2,0
17344,2020-03-06,2020-03-06,1,0,หมู่บ้านอลิชา2,ซอยหมู่บ้านอลิชา2,0
17345,2020-03-06,2020-03-06,1,0,หมู่บ้านอลิชา2,ซอยหมู่บ้านอลิชา2,0
17346,2020-03-06,2020-03-06,1,0,ท้ายซอยพุทธบูชา36,ซอยพุทธบูชา36,0
17347,2020-03-06,2020-03-06,1,0,ท้ายซอยพุทธบูชา36,ซอยพุทธบูชา36,0
17348,2020-03-06,2020-03-06,1,0,ท้ายซอยพุทธบูชา36,ซอยพุทธบูชา36,0
17349,2020-03-09,2020-03-09,1,0,ยมราช,หลานหลวง,0
17350,2020-03-09,2020-03-09,1,0,ยมราช,หลานหลวง,0
17351,2020-03-09,2020-03-09,1,0,ยมราช,หลานหลวง,0
17352,2020-03-09,2020-03-09,1,0,ยมราช,สวรรคโลก,0
17353,2020-03-09,2020-03-09,1,0,ยมราช,สวรรคโลก,0
17354,2020-03-09,2020-03-09,1,0,ยมราช,สวรรคโลก,0
17355,2020-03-09,2020-03-09,1,0,ยมราช,พิษณุโลก,0
17356,2020-03-09,2020-03-09,1,0,ยมราช,พิษณุโลก,0
17357,2020-03-09,2020-03-09,1,0,ยมราช,พิษณุโลก,0
17358,2020-03-09,2020-03-09,1,0,ยมราช,เพชรบุรี,0
17359,2020-03-09,2020-03-09,1,0,ยมราช,เพชรบุรี,0
17360,2020-03-09,2020-03-09,1,0,ยมราช,เพชรบุรี,0
