source_excel_row,survey_date_parsed,intersection_key,road_key,time_key,Lockdown,vph
6477,2021-02-17,โพธิ์สามต้น,อิสรภาพ,07:00-09:00,0,1750.5
6478,2021-02-17,โพธิ์สามต้น,วังเดิม,07:00-09:00,0,289.0
6479,2021-02-17,โพธิ์สามต้น,อิสรภาพ,16:00-19:00,0,1307.6666666666667
6480,2021-02-17,โพธิ์สามต้น,วังเดิม,16:00-19:00,0,347.6666666666667
6481,2021-02-17,โพธิ์สามต้น,อิสรภาพ,09:00-16:00,0,1297.0
6482,2021-02-17,โพธิ์สามต้น,วังเดิม,09:00-16:00,0,327.42857142857144
6485,2021-02-18,จันทน์-นราธิวาส,นราธิวาสราชนครินทร์,16:00-19:00,0,2522.3333333333335
6486,2021-02-18,จันทน์-นราธิวาส,จันทน์,16:00-19:00,0,930.3333333333334
6487,2021-02-18,จันทน์-นราธิวาส,นราธิวาสราชนครินทร์,09:00-16:00,0,2406.0
6488,2021-02-18,จันทน์-นราธิวาส,จันทน์,09:00-16:00,0,951.0
6552,2021-03-04,บางยี่เรือ,เทอดไท,07:00-09:00,0,565.5
6555,2021-03-04,บางยี่เรือ,เทอดไท,16:00-19:00,0,371.0
6558,2021-03-04,บางยี่เรือ,เทอดไท,09:00-16:00,0,372.2857142857143
6711,2021-04-01,บ้านม้า,ศรีบูรพา,07:00-09:00,1,1366.0
6712,2021-04-01,บ้านม้า,รามคำแหง,07:00-09:00,1,2404.0
6713,2021-04-01,บ้านม้า,ศรีบูรพา,16:00-19:00,1,1060.6666666666667
6714,2021-04-01,บ้านม้า,รามคำแหง,16:00-19:00,1,2563.3333333333335
6715,2021-04-01,บ้านม้า,ศรีบูรพา,09:00-16:00,1,880.4285714285714
6716,2021-04-01,บ้านม้า,รามคำแหง,09:00-16:00,1,2686.5714285714284
6771,2021-04-20,วิสุทธิกษัตริย์,ประชาธิปไตย,07:00-09:00,0,593.5
6772,2021-04-20,วิสุทธิกษัตริย์,วิสุทธิกษัตริย์,07:00-09:00,0,3188.0
6773,2021-04-20,วิสุทธิกษัตริย์,ประชาธิปไตย,16:00-19:00,0,621.3333333333334
6774,2021-04-20,วิสุทธิกษัตริย์,วิสุทธิกษัตริย์,16:00-19:00,0,1438.6666666666667
6775,2021-04-20,วิสุทธิกษัตริย์,ประชาธิปไตย,09:00-16:00,0,712.1428571428571
6776,2021-04-20,วิสุทธิกษัตริย์,วิสุทธิกษัตริย์,09:00-16:00,0,2253.8571428571427
6966,2021-05-31,บ้านแขก,ประชาธิปก,07:00-09:00,0,4081.5
6967,2021-05-31,บ้านแขก,อิสรภาพ,07:00-09:00,0,1128.5
6968,2021-05-31,บ้านแขก,ประชาธิปก,16:00-19:00,0,3976.0
6969,2021-05-31,บ้านแขก,อิสรภาพ,16:00-19:00,0,1137.0
6970,2021-05-31,บ้านแขก,ประชาธิปก,09:00-16:00,0,4299.0
6971,2021-05-31,บ้านแขก,อิสรภาพ,09:00-16:00,0,1021.7142857142857
6986,2021-06-02,หน้ารพ.รามาธิบดี,พระรามที่6,07:00-09:00,0,3578.0
6989,2021-06-02,หน้ารพ.รามาธิบดี,พระรามที่6,16:00-19:00,0,3424.0
6992,2021-06-02,หน้ารพ.รามาธิบดี,พระรามที่6,09:00-16:00,0,3178.5714285714284
7056,2021-06-15,เตาปูน,ซอยน้ำชัย,07:00-09:00,0,9.5
7058,2021-06-15,เตาปูน,ประชาราษฎร์สาย2,07:00-09:00,0,1383.0
7059,2021-06-15,เตาปูน,ซอยน้ำชัย,16:00-19:00,0,15.333333333333334
7061,2021-06-15,เตาปูน,ประชาราษฎร์สาย2,16:00-19:00,0,1828.0
7062,2021-06-15,เตาปูน,ซอยน้ำชัย,09:00-16:00,0,10.0
7064,2021-06-15,เตาปูน,ประชาราษฎร์สาย2,09:00-16:00,0,1485.7142857142858
7107,2021-06-24,ถนนตก,เจริญกรุง,07:00-09:00,0,1323.5
7108,2021-06-24,ถนนตก,พระรามที่3,07:00-09:00,0,2557.5
7109,2021-06-24,ถนนตก,เจริญกรุง,16:00-19:00,0,1013.6666666666666
7110,2021-06-24,ถนนตก,พระรามที่3,16:00-19:00,0,2103.6666666666665
