source_excel_row,survey_date_parsed,covid_period,intersection_key,road_key,time_key,period_hours,total,vph
240,2017-04-24,ก่อนโควิด,คลองตัน,พัฒนาการ,09:00-16:00,7.0,14338.0,2048.285714285714
241,2017-04-24,ก่อนโควิด,คลองตัน,พัฒนาการ,16:00-19:00,3.0,5587.0,1862.3333333333333
260,2017-04-27,ก่อนโควิด,ราชดำริ,ราชดำริ,07:00-09:00,2.0,5355.0,2677.5
263,2017-04-27,ก่อนโควิด,ราชดำริ,สารสิน,07:00-09:00,2.0,2204.0,1102.0
275,2017-05-01,ก่อนโควิด,ดาวคะนอง,สมเด็จพระเจ้าตากสิน,07:00-09:00,2.0,7243.0,3621.5
276,2017-05-01,ก่อนโควิด,ดาวคะนอง,สมเด็จพระเจ้าตากสิน,09:00-16:00,7.0,29883.0,4269.0
277,2017-05-01,ก่อนโควิด,ดาวคะนอง,สมเด็จพระเจ้าตากสิน,16:00-19:00,3.0,12747.0,4249.0
278,2017-05-01,ก่อนโควิด,ดาวคะนอง,จอมทอง,07:00-09:00,2.0,1393.0,696.5
279,2017-05-01,ก่อนโควิด,ดาวคะนอง,จอมทอง,09:00-16:00,7.0,5456.0,779.4285714285714
280,2017-05-01,ก่อนโควิด,ดาวคะนอง,จอมทอง,16:00-19:00,3.0,2124.0,708.0
284,2017-05-02,ก่อนโควิด,เพชรบุรี-ชิดลม,เพชรบุรี,07:00-09:00,2.0,10886.0,5443.0
314,2017-05-05,ก่อนโควิด,นราธิวาส-สุรวงศ์,สุรวงศ์,07:00-09:00,2.0,4296.0,2148.0
315,2017-05-05,ก่อนโควิด,นราธิวาส-สุรวงศ์,สุรวงศ์,09:00-16:00,7.0,13960.0,1994.2857142857142
316,2017-05-05,ก่อนโควิด,นราธิวาส-สุรวงศ์,สุรวงศ์,16:00-19:00,3.0,5216.0,1738.6666666666667
317,2017-05-08,ก่อนโควิด,เจริญราษฎร์,เจริญราษฎร์,07:00-09:00,2.0,4115.0,2057.5
318,2017-05-08,ก่อนโควิด,เจริญราษฎร์,เจริญราษฎร์,09:00-16:00,7.0,11326.0,1618.0
319,2017-05-08,ก่อนโควิด,เจริญราษฎร์,เจริญราษฎร์,16:00-19:00,3.0,4443.0,1481.0
320,2017-05-08,ก่อนโควิด,เจริญราษฎร์,พระรามที่3,07:00-09:00,2.0,17156.0,8578.0
321,2017-05-08,ก่อนโควิด,เจริญราษฎร์,พระรามที่3,09:00-16:00,7.0,50004.0,7143.428571428572
322,2017-05-08,ก่อนโควิด,เจริญราษฎร์,พระรามที่3,16:00-19:00,3.0,19127.0,6375.666666666667
323,2017-05-09,ก่อนโควิด,คลองสาน,เจริญนคร,07:00-09:00,2.0,3281.0,1640.5
324,2017-05-09,ก่อนโควิด,คลองสาน,เจริญนคร,09:00-16:00,7.0,9483.0,1354.7142857142858
325,2017-05-09,ก่อนโควิด,คลองสาน,เจริญนคร,16:00-19:00,3.0,3490.0,1163.3333333333333
326,2017-05-09,ก่อนโควิด,คลองสาน,สมเด็จเจ้าพระยา,07:00-09:00,2.0,1180.0,590.0
327,2017-05-09,ก่อนโควิด,คลองสาน,สมเด็จเจ้าพระยา,09:00-16:00,7.0,5945.0,849.2857142857143
328,2017-05-09,ก่อนโควิด,คลองสาน,สมเด็จเจ้าพระยา,16:00-19:00,3.0,2991.0,997.0
329,2017-05-09,ก่อนโควิด,คลองสาน,ลาดหญ้า,07:00-09:00,2.0,1897.0,948.5
330,2017-05-09,ก่อนโควิด,คลองสาน,ลาดหญ้า,09:00-16:00,7.0,5242.0,748.8571428571429
331,2017-05-09,ก่อนโควิด,คลองสาน,ลาดหญ้า,16:00-19:00,3.0,2364.0,788.0
332,2017-05-11,ก่อนโควิด,สีลม-นราธิวาส,นราธิวาสราชนครินทร์,07:00-09:00,2.0,4232.0,2116.0
335,2017-05-11,ก่อนโควิด,สีลม-นราธิวาส,สีลม,07:00-09:00,2.0,5253.0,2626.5
365,2017-05-17,ก่อนโควิด,ลาดพร้าว101,ลาดพร้าว,07:00-09:00,2.0,6453.0,3226.5
377,2017-05-19,ก่อนโควิด,สุโขทัย,พระรามที่5,07:00-09:00,2.0,3573.0,1786.5
378,2017-05-19,ก่อนโควิด,สุโขทัย,พระรามที่5,09:00-16:00,7.0,10748.0,1535.4285714285713
379,2017-05-19,ก่อนโควิด,สุโขทัย,พระรามที่5,16:00-19:00,3.0,3902.0,1300.6666666666667
380,2017-05-19,ก่อนโควิด,สุโขทัย,สุโขทัย,07:00-09:00,2.0,2931.0,1465.5
381,2017-05-19,ก่อนโควิด,สุโขทัย,สุโขทัย,09:00-16:00,7.0,10801.0,1543.0
382,2017-05-19,ก่อนโควิด,สุโขทัย,สุโขทัย,16:00-19:00,3.0,4743.0,1581.0
383,2017-05-22,ก่อนโควิด,เทียมร่วมมิตร,รัชดาภิเษก,07:00-09:00,2.0,8687.0,4343.5
386,2017-05-22,ก่อนโควิด,เทียมร่วมมิตร,เทียมร่วมมิตร,07:00-09:00,2.0,4730.0,2365.0
387,2017-05-22,ก่อนโควิด,เทียมร่วมมิตร,เทียมร่วมมิตร,09:00-16:00,7.0,11113.0,1587.5714285714287
388,2017-05-22,ก่อนโควิด,เทียมร่วมมิตร,เทียมร่วมมิตร,16:00-19:00,3.0,4733.0,1577.6666666666667
404,2017-05-25,ก่อนโควิด,บางยี่เรือ,เทอดไท,07:00-09:00,2.0,1585.0,792.5
405,2017-05-25,ก่อนโควิด,บางยี่เรือ,เทอดไท,09:00-16:00,7.0,4450.0,635.7142857142857
406,2017-05-25,ก่อนโควิด,บางยี่เรือ,เทอดไท,16:00-19:00,3.0,1543.0,514.3333333333334
407,2017-05-25,ก่อนโควิด,บางยี่เรือ,เพชรเกษม,07:00-09:00,2.0,3626.0,1813.0
408,2017-05-25,ก่อนโควิด,บางยี่เรือ,เพชรเกษม,09:00-16:00,7.0,9353.0,1336.142857142857
409,2017-05-25,ก่อนโควิด,บางยี่เรือ,เพชรเกษม,16:00-19:00,3.0,3788.0,1262.6666666666667
410,2017-05-25,ก่อนโควิด,บางยี่เรือ,อินทรพิทักษ์,07:00-09:00,2.0,2979.0,1489.5
411,2017-05-25,ก่อนโควิด,บางยี่เรือ,อินทรพิทักษ์,09:00-16:00,7.0,9785.0,1397.857142857143
412,2017-05-25,ก่อนโควิด,บางยี่เรือ,อินทรพิทักษ์,16:00-19:00,3.0,5610.0,1870.0
413,2017-05-26,ก่อนโควิด,สามเหลี่ยมดินแดง,ราชปรารภ,07:00-09:00,2.0,5578.0,2789.0
414,2017-05-26,ก่อนโควิด,สามเหลี่ยมดินแดง,ราชปรารภ,09:00-16:00,7.0,16079.0,2297.0
415,2017-05-26,ก่อนโควิด,สามเหลี่ยมดินแดง,ราชปรารภ,16:00-19:00,3.0,9914.0,3304.6666666666665
419,2017-05-26,ก่อนโควิด,สามเหลี่ยมดินแดง,ราชวิถี,07:00-09:00,2.0,2174.0,1087.0
420,2017-05-26,ก่อนโควิด,สามเหลี่ยมดินแดง,ราชวิถี,09:00-16:00,7.0,7191.0,1027.2857142857142
421,2017-05-26,ก่อนโควิด,สามเหลี่ยมดินแดง,ราชวิถี,16:00-19:00,3.0,3564.0,1188.0
422,2017-05-26,ก่อนโควิด,สามเหลี่ยมดินแดง,ดินแดง,07:00-09:00,2.0,4862.0,2431.0
423,2017-05-26,ก่อนโควิด,สามเหลี่ยมดินแดง,ดินแดง,09:00-16:00,7.0,17035.0,2433.5714285714284
424,2017-05-26,ก่อนโควิด,สามเหลี่ยมดินแดง,ดินแดง,16:00-19:00,3.0,4124.0,1374.6666666666667
428,2017-05-30,ก่อนโควิด,โรงพยาบาลกลาง,เสือป่า,07:00-09:00,2.0,735.0,367.5
434,2017-05-30,ก่อนโควิด,โรงพยาบาลกลาง,หลวง,07:00-09:00,2.0,3497.0,1748.5
443,2017-06-02,ก่อนโควิด,วิสุทธิกษัตริย์,ประชาธิปไตย,07:00-09:00,2.0,2546.0,1273.0
446,2017-06-02,ก่อนโควิด,วิสุทธิกษัตริย์,วิสุทธิกษัตริย์,07:00-09:00,2.0,8346.0,4173.0
450,2017-06-05,ก่อนโควิด,สาธุประดิษฐ์,สาธุประดิษฐ์,09:00-16:00,7.0,4323.0,617.5714285714286
452,2017-06-05,ก่อนโควิด,สาธุประดิษฐ์,พระรามที่3,07:00-09:00,2.0,12107.0,6053.5
453,2017-06-05,ก่อนโควิด,สาธุประดิษฐ์,พระรามที่3,09:00-16:00,7.0,38555.0,5507.857142857143
454,2017-06-05,ก่อนโควิด,สาธุประดิษฐ์,พระรามที่3,16:00-19:00,3.0,17008.0,5669.333333333333
479,2017-06-12,ก่อนโควิด,พุทธมณฑลสาย2,พุทธมณฑลสาย2,07:00-09:00,2.0,1767.0,883.5
480,2017-06-12,ก่อนโควิด,พุทธมณฑลสาย2,พุทธมณฑลสาย2,09:00-16:00,7.0,7196.0,1028.0
481,2017-06-12,ก่อนโควิด,พุทธมณฑลสาย2,พุทธมณฑลสาย2,16:00-19:00,3.0,2573.0,857.6666666666666
482,2017-06-12,ก่อนโควิด,พุทธมณฑลสาย2,เพชรเกษม,07:00-09:00,2.0,14188.0,7094.0
483,2017-06-12,ก่อนโควิด,พุทธมณฑลสาย2,เพชรเกษม,09:00-16:00,7.0,46415.0,6630.714285714285
484,2017-06-12,ก่อนโควิด,พุทธมณฑลสาย2,เพชรเกษม,16:00-19:00,3.0,23221.0,7740.333333333333
491,2017-06-14,ก่อนโควิด,ท่าดินแดง,ท่าดินแดง,07:00-09:00,2.0,1261.0,630.5
492,2017-06-14,ก่อนโควิด,ท่าดินแดง,ท่าดินแดง,09:00-16:00,7.0,3873.0,553.2857142857143
493,2017-06-14,ก่อนโควิด,ท่าดินแดง,ท่าดินแดง,16:00-19:00,3.0,1574.0,524.6666666666666
494,2017-06-14,ก่อนโควิด,ท่าดินแดง,สมเด็จเจ้าพระยา,07:00-09:00,2.0,3051.0,1525.5
497,2017-06-15,ก่อนโควิด,สุทธิสาร-วิภาวดีรังสิต,วิภาวดีรังสิต,07:00-09:00,2.0,29814.0,14907.0
500,2017-06-15,ก่อนโควิด,สุทธิสาร-วิภาวดีรังสิต,สุทธิสาร,07:00-09:00,2.0,5949.0,2974.5
509,2017-06-19,ก่อนโควิด,หลักสี่,กำแพงเพชร6,07:00-09:00,2.0,4261.0,2130.5
512,2017-06-19,ก่อนโควิด,หลักสี่,แจ้งวัฒนะ,07:00-09:00,2.0,5924.0,2962.0
515,2017-06-20,ก่อนโควิด,ประชาเกษม,ประชาธิปไตย,07:00-09:00,2.0,4150.0,2075.0
518,2017-06-20,ก่อนโควิด,ประชาเกษม,นครราชสีมา,07:00-09:00,2.0,523.0,261.5
521,2017-06-20,ก่อนโควิด,ประชาเกษม,กรุงเกษม,07:00-09:00,2.0,1582.0,791.0
533,2017-06-22,ก่อนโควิด,ปทุมวัน,พญาไท,07:00-09:00,2.0,6015.0,3007.5
536,2017-06-22,ก่อนโควิด,ปทุมวัน,พระรามที่1,07:00-09:00,2.0,5605.0,2802.5
557,2017-06-28,ก่อนโควิด,บางพลัด,จรัญสนิทวงศ์,07:00-09:00,2.0,7208.0,3604.0
560,2017-06-28,ก่อนโควิด,บางพลัด,สิรินธร,07:00-09:00,2.0,6348.0,3174.0
563,2017-06-28,ก่อนโควิด,บางพลัด,ราชวิถี,07:00-09:00,2.0,5143.0,2571.5
566,2017-06-29,ก่อนโควิด,ท่าพระ,รัชดาภิเษก,07:00-09:00,2.0,2930.0,1465.0
569,2017-06-29,ก่อนโควิด,ท่าพระ,จรัญสนิทวงศ์,07:00-09:00,2.0,2903.0,1451.5
572,2017-06-29,ก่อนโควิด,ท่าพระ,เพชรเกษม,07:00-09:00,2.0,7911.0,3955.5
