period,median_index,p025,p975,units
ก่อนโควิด,100.0,100.0,100.0,721
โควิด,91.46482122260669,87.9310344827586,94.86762389465791,721
หลังโควิด,90.23846046576489,86.64692550660877,93.0142125719239,721
